conf,ts,HC1,HC2,HC3,HC0,HC_CC,HC_OPF,t_opf,t_cc,consumers,nodes,unc
1076069_1274125_configuration.json,59,0.0,0.0,0.0,305.1148010938263,305.1148010938263,278.72429986845486,2.1730000972747803,19.907000064849854,74,19,7
1076069_1274129_configuration.json,59,0.0,0.0,0.0,110.33504683711345,110.33504683711345,105.03703079760066,0.247999906539917,0.4609999656677246,11,4,4
1076069_1274131_configuration.json,59,0.0,0.0,0.0,-1,-1,106.41416678689144,0.22499990463256836,52.170000076293945,22,3,4
1076069_2354896_configuration.json,59,0.0,0.0,0.0,15.000000147493909,15.000000147493909,15.000000147494097,0.25100016593933105,0.375,1,3,2
1076069_2354903_configuration.json,59,0.0,0.0,0.0,45.00000044248352,45.00000044248352,45.000000442482325,0.1979999542236328,0.42599987983703613,3,11,3
1076109_1251039_configuration.json,57,0.0,0.0,0.0,297.7417381694885,297.7417381694885,275.11001959142783,0.39499998092651367,25.96399998664856,62,14,8
1076109_1251041_configuration.json,59,0.0,0.0,0.0,139.98418722407945,139.98418722407945,135.16222533128447,0.19100022315979004,6.252000093460083,14,9,4
1076109_1251045_configuration.json,45,0.0,0.0,0.0,317.5362664596914,317.5362664596914,287.7707104756338,0.4549999237060547,46.169999837875366,129,33,7
1076128_1246490_configuration.json,56,0.0,0.0,0.0,293.764749062177,293.764749062177,272.0825552679667,0.3300001621246338,20.663000106811523,49,18,8
1076128_1246495_configuration.json,59,0.0,0.0,0.0,292.82256475241076,292.82256475241076,273.50166448805663,0.32399988174438477,9.039999961853027,50,18,6
1076128_1246503_configuration.json,59,0.0,0.0,0.0,0.0,0.0,0.0,0.1679999828338623,0.1979999542236328,0,6,1
1076128_1246505_configuration.json,59,0.0,0.0,0.0,15.000000147494081,15.000000147494081,15.000000147493942,0.19000005722045898,0.3250000476837158,1,8,2
1076128_1246507_configuration.json,59,0.0,0.0,0.0,0.0,0.0,0.0,0.1679999828338623,0.1789999008178711,0,8,1
1076128_1246510_configuration.json,45,0.0,0.0,0.0,320.42073805976713,320.5955127352471,286.5686996291121,0.4630000591278076,47.92700004577637,106,25,8
1132967_1400848_configuration.json,45,0.0,0.0,0.0,312.85608107547984,312.87670486123596,281.8542477805655,0.6200001239776611,64.05000019073486,86,50,7
1132967_1400862_configuration.json,59,0.0,0.0,0.0,180.00000176994803,180.00000176994803,180.00000176993834,0.22499990463256836,1.8950002193450928,12,35,4
1132967_1400879_configuration.json,59,0.0,0.0,0.0,45.00000044248311,45.00000044248311,45.00000044248243,0.19700002670288086,0.29200005531311035,3,7,2
1132967_1400881_configuration.json,59,0.0,0.0,0.0,216.79987437781315,216.79987437781315,210.19926718636617,0.24300003051757812,211.50699996948242,23,6,6
1132967_1400888_configuration.json,59,0.0,0.0,0.0,220.55797173950492,220.55797173950492,210.95042116194435,0.23399996757507324,80.1230001449585,29,6,5
1132967_1400910_configuration.json,45,0.0,0.0,0.0,282.5671810171573,287.09963575470175,280.7401930374007,0.5379998683929443,51.38600015640259,80,27,9
1132967_1400916_configuration.json,59,0.0,0.0,0.0,120.00000117995603,120.00000117995603,120.00000117995279,0.2219998836517334,0.7679998874664307,8,31,3
1132967_1400951_configuration.json,59,0.0,0.0,0.0,137.24485423565218,137.24485423565218,133.72384092092165,0.40799999237060547,4.019999980926514,13,35,3
1136039_1464991_configuration.json,59,0.0,0.0,0.0,0.0,0.0,0.0,0.16899991035461426,0.18199992179870605,0,8,1
1136039_1464994_configuration.json,45,0.0,0.0,0.0,196.1000421490591,198.82158946639322,214.0316452709654,0.312999963760376,8.651999950408936,96,15,6
1136039_1464997_configuration.json,59,0.0,0.0,0.0,0.0,0.0,0.0,0.1679999828338623,0.18799996376037598,0,2,1
1136039_1465000_configuration.json,59,0.0,0.0,0.0,192.94223741252063,192.94223741252063,183.7928536626903,0.36999988555908203,4.644999980926514,46,11,6
1136039_1465006_configuration.json,59,0.0,0.0,0.0,30.000000294988183,30.000000294988183,30.00000029498792,0.19899988174438477,0.39999985694885254,2,9,3
1136039_1465008_configuration.json,59,0.0,0.0,0.0,0.0,0.0,0.0,0.16899991035461426,0.17300009727478027,0,2,1
1136042_1440533_configuration.json,59,0.0,0.0,0.0,217.07082114207972,217.07082114207972,209.57328452471046,0.2819998264312744,11.710999965667725,18,12,4
1136042_1440535_configuration.json,59,0.0,0.0,0.0,170.90055182075253,170.90055182075253,165.412614068959,0.3450000286102295,4.03600001335144,18,13,6
1136042_1440537_configuration.json,45,0.0,0.0,0.0,317.05126539919166,317.01346514949876,287.3742348907616,0.6649999618530273,144.47800016403198,153,30,8
1136042_1440539_configuration.json,45,0.0,0.0,0.0,304.51715814874035,304.53735634897936,276.07316584899075,0.3680000305175781,14.64900016784668,59,27,6
1136042_1440548_configuration.json,59,0.0,0.0,0.0,45.00000044248688,45.00000044248688,45.000000442485224,0.2710001468658447,0.943000078201294,3,17,4
1136042_1440552_configuration.json,59,0.0,0.0,0.0,0.0,0.0,0.0,0.18000006675720215,0.18199992179870605,0,4,1
1136056_1450251_configuration.json,59,0.0,0.0,0.0,15.000000147493967,15.000000147493967,15.00000014749391,0.18799996376037598,0.26399993896484375,1,5,2
1136056_1450254_configuration.json,45,0.0,0.0,0.0,280.40204328869083,283.26008995459705,273.633638159014,0.32000017166137695,27.281999826431274,73,23,8
1136056_1450257_configuration.json,59,0.0,0.0,0.0,0.0,0.0,0.0,0.1770000457763672,0.18000006675720215,0,4,1
